Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 2245
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 2014
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1722
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 2253
[23/Oct/2020 12:52:28] "GET /api/image?run=vgg&tag=input%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:28] "GET /api/image?run=vgg&tag=input%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 2517
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 1052
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 2454
[23/Oct/2020 12:52:28] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 427
[23/Oct/2020 12:52:28] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1052
